course_name|url|level|description
Android Auto Development|https://www.udacity.com/course/android-auto-development--ud875C|Advanced|Reach your users while they're out and about by extending your Media or Messaging app to Android Auto!
Get Your Startup Started|https://www.udacity.com/course/get-your-startup-started--ud806|Intermediate|Acquire the know-how necessary to see your business grow towards its next milestone.
Product Design|https://www.udacity.com/course/product-design--ud509|Intermediate|Learn product validation, UI/UX practices, Google’s Design Sprint and the process for setting and tracking actionable metrics.
App Monetization|https://www.udacity.com/course/app-monetization--ud518|Intermediate|Learn how to effectively develop, implement, and measure your monetization strategy, iterating on the model as appropriate.
Rapid Prototyping|https://www.udacity.com/course/rapid-prototyping--ud723|Intermediate|Learning to prototype will save you time and money in the development process. You’ll create quality apps faster and have confidence in the viability of your products.
App Marketing|https://www.udacity.com/course/app-marketing--ud719|Intermediate|This course will help you organize a strategy of identifying your perfect user, and teach you how to grow your user base by focusing your product on their needs.
2D Game Development with libGDX|https://www.udacity.com/course/2d-game-development-with-libgdx--ud405|Intermediate|This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. At the end you will create a full game, called Icicles.
How to Make a Platformer Using libGDX|https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406|Intermediate|This course will explore how to create a game called Giga Gal. Giga Gal is a platformer in which you run, collect energy packs, jump a bunch, and shoot enemies.
Dynamic Web Applications with Sinatra|https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268|Intermediate|Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating.
The MVC Pattern in Ruby|https://www.udacity.com/course/the-mvc-pattern-in-ruby--ud270|Intermediate|In this course you’ll learn how to organize your code, and why that’s important. You’ll be using the MVC Design Pattern in the web application micro-framework Sinatra.
Deploying Applications with Heroku|https://www.udacity.com/course/deploying-applications-with-heroku--ud272|Intermediate|Deploy your first web application using the Heroku platform and learn about the underlying mechanics of web hosting.
Problem Solving with Advanced Analytics|https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976|Beginner|Learn a scientific approach to solving problems with data, a foundational skill for anyone interested in making data driven decisions in a business context.
Creating an Analytical Dataset|https://www.udacity.com/course/creating-an-analytical-dataset--ud977|Beginner|Learn how to prepare data to ensure the efficacy of your analysis while improving fluency in Alteryx.
Classification Models|https://www.udacity.com/course/classification-models--ud978|Intermediate|Learn how to use classification predictive models to solve business problems involving non-numeric data.
A/B Testing for Business Analysts|https://www.udacity.com/course/ab-testing--ud979|Intermediate|The A/B Testing course provides students with the foundational knowledge to design and analyze A/B tests to create business insights and support decision making.
Offline Web Applications|https://www.udacity.com/course/offline-web-applications--ud899|Intermediate|Learn how to develop offline-first web application using Service Workers and IndexedDB.
Version Control with Git|https://www.udacity.com/course/version-control-with-git--ud123|Beginner|Learn how to use Git, a popular Version Control System and essential tool for any developer.
JavaScript Promises|https://www.udacity.com/course/javascript-promises--ud898|Advanced|Learn how to simplify asynchronous work with Native JavaScript Promises!
Building High Conversion Web Forms|https://www.udacity.com/course/building-high-conversion-web-forms--ud890|Intermediate|Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.
Web Tooling & Automation|https://www.udacity.com/course/web-tooling-automation--ud892|Intermediate|In this course, you’ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.
Designing RESTful APIs|https://www.udacity.com/course/designing-restful-apis--ud388|Intermediate|Build and secure a web server with a RESTful Developer-Friendly API that developers will love to use.
Writing READMEs|https://www.udacity.com/course/writing-readmes--ud777|Beginner|Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!
Intro to DevOps|https://www.udacity.com/course/intro-to-devops--ud611|Advanced|Learn all about the DevOps landscape, workflow, and a survey of the systems currently being used to support scalable software deployment.
Intro to HTML and CSS|https://www.udacity.com/course/intro-to-html-and-css--ud304|Beginner|Learn how to convert digital design mockups into static web pages and how to build a responsive portfolio site to showcase your work.
Intro to Computer Science|https://www.udacity.com/course/intro-to-computer-science--cs101|Beginner|Learn key computer science concepts in this introductory Python course. You'll learn by doing, and will build your own search engine and social network.
JavaScript Basics|https://www.udacity.com/course/javascript-basics--ud804|Beginner|Learn JavaScript syntax and coding conventions that web developers use to create interactive and dynamic websites while you create an online résumé for your portfolio.
Linux Command Line Basics|https://www.udacity.com/course/linux-command-line-basics--ud595|Beginner|An introduction to the Linux command line interface.
How to Use Git and GitHub|https://www.udacity.com/course/how-to-use-git-and-github--ud775|Beginner|Learn to use version control, an important tool for any developer.  The course will focus on Git, a specific version control system, and GitHub, a collaboration platform.
Programming Foundations with Python|https://www.udacity.com/course/programming-foundations-with-python--ud036|Beginner|Introductory programming class to learn Object-Oriented Programming, a must-have technique to reuse and share code easily. Learn by making projects that spread happiness!
Intro to iOS App Development with Swift|https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585|Intermediate|Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.
Intro to Java Programming|https://www.udacity.com/course/intro-to-java-programming--cs046|Beginner|Start with this basic introduction to Java programming if you've never studied the language before and practice essential computer science concepts.
Intro to Relational Databases|https://www.udacity.com/course/intro-to-relational-databases--ud197|Intermediate|Relational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.
Full Stack Foundations|https://www.udacity.com/course/full-stack-foundations--ud088|Intermediate|Learn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.
Authentication & Authorization: OAuth|https://www.udacity.com/course/authentication-authorization-oauth--ud330|Intermediate|Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.
Responsive Web Design Fundamentals|https://www.udacity.com/course/responsive-web-design-fundamentals--ud893|Intermediate|Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.
Responsive Images|https://www.udacity.com/course/responsive-images--ud882|Intermediate|Go beyond image tags! Learn how to make images a part of your responsive design workflow.
Browser Rendering Optimization|https://www.udacity.com/course/browser-rendering-optimization--ud860|Advanced|This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.
JavaScript Design Patterns|https://www.udacity.com/course/javascript-design-patterns--ud989|Advanced|Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.
Learn Backbone.js|https://www.udacity.com/course/learn-backbonejs--ud990|Advanced|This is a collection of curated resources to teach you how to write well organized web applications using the Backbone framework.
JavaScript Testing|https://www.udacity.com/course/javascript-testing--ud549|Intermediate|Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.
Configuring Linux Web Servers|https://www.udacity.com/course/configuring-linux-web-servers--ud299|Advanced|Serve a data-driven web application as you become acquainted with, configure and finally secure a Ubuntu Linux web application server.
How to Build a Startup|https://www.udacity.com/course/how-to-build-a-startup--ep245|Intermediate|Learn what it takes to build a successful startup using the Customer Development process, where entrepreneurs "get out of the building" to gather and iterate on feedback.
Learn Swift Programming Syntax|https://www.udacity.com/course/learn-swift-programming-syntax--ud902|Intermediate|This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.
UIKit Fundamentals|https://www.udacity.com/course/uikit-fundamentals--ud788|Intermediate|Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.
Firebase in a Weekend: iOS|https://www.udacity.com/course/firebase-in-a-weekend-by-google-ios--ud0351|Intermediate|This course will teach you when and why to choose Firebase as a backend for your iOS application.
Firebase in a Weekend: Android|https://www.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352|Intermediate|This course will teach you when and why to choose Firebase as a backend for your Android application.
iOS Networking with Swift|https://www.udacity.com/course/ios-networking-with-swift--ud421|Advanced|Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.
Grand Central Dispatch (GCD)|https://www.udacity.com/course/grand-central-dispatch-gcd--ud576|Intermediate|Learn how to prevent background operations from interfering with an app's UI by implementing Apple's GCD framework.
iOS Persistence and Core Data|https://www.udacity.com/course/ios-persistence-and-core-data--ud325|Advanced|Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox & Core Data.
