course_name|url|level|description
Deploying a Hadoop Cluster|https://www.udacity.com/course/deploying-a-hadoop-cluster--ud1000|Intermediate|Deploy your own Hadoop cluster to crunch some big data!
Scalable Microservices with Kubernetes|https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615|Intermediate|This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Google’s Kelsey Hightower.
Objective-C for Swift Developers|https://www.udacity.com/course/objective-c-for-swift-developers--ud1009|Intermediate|Learn the distinguishing language features of Objective-C. Practice Objective-C syntax by writing classes, and writing and calling methods.
Google Maps APIs|https://www.udacity.com/course/google-maps-apis--ud864|Intermediate|This course will introduce you to the content available through the Google Maps APIs through building a real-estate listings web application step-by-step.
Intro to Progressive Web Apps|https://www.udacity.com/course/intro-to-progressive-web-apps--ud811|Intermediate|In this course you’ll get started working on your very first Progressive Web App - a web app that can take advantage of many features native applications have enjoyed!
Java Programming Basics|https://www.udacity.com/course/java-programming-basics--ud282|Beginner|Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions.
Big Data Analytics in Healthcare|https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758|Intermediate|In this course, we introduce the characteristics of medical data and associated data mining challenges on dealing with such data. We cover various algorithms and systems.
Time Series Forecasting|https://www.udacity.com/course/time-series-forecasting--ud980|Intermediate|The Time Series Forecasting course provides students with the foundational knowledge to build and apply time series forecasting models in a variety of business contexts.
Segmentation and Clustering|https://www.udacity.com/course/segmentation-and-clustering--ud981|Intermediate|The Segmentation & Clustering course provides students with the knowledge to build and apply clustering models to develop sophisticated segmentation in business contexts.
Data Visualization in Tableau|https://www.udacity.com/course/data-visualization-in-tableau--ud1006|Beginner|Learn the fundamentals of data visualization and practice communicating with data.
Introduction to Health Informatics|https://www.udacity.com/course/introduction-to-health-informatics--ud835|Intermediate|This survey course provides a broad, forward-facing overview of contemporary health informatics within the context of the US healthcare delivery system.
Introduction to Virtual Reality|https://www.udacity.com/course/introduction-to-virtual-reality--ud1012|Beginner|If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR.
VR Scenes and Objects|https://www.udacity.com/course/vr-scenes-and-objects--ud1013|Beginner|Take the first step in Unity and begin to develop VR content. Learn the principles of the Unity platform and help you understand what you can build in VR!
VR Software Development|https://www.udacity.com/course/vr-software-development--ud1014|Beginner|Learn about the world of virtual reality programming! You will learn the basics of programming in C# and how to use it control virtual reality applications in Unity.
Swift for Beginners|https://www.udacity.com/course/swift-for-beginners--ud1022|Beginner|Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift.
Swift for Developers|https://www.udacity.com/course/swift-for-developers--ud1025|Beginner|Get a quick practical introduction to Swift programming basics and build your first iOS app!
Server-Side Swift|https://www.udacity.com/course/server-side-swift--ud1031|Intermediate|In this course, you'll learn how to utilize Swift as a server-side language for building end-to-end applications. That's one language (Swift) for the client and server.
AutoLayout|https://www.udacity.com/course/auto-layout--ud1026|Intermediate|With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.
Building iOS Interfaces|https://www.udacity.com/course/building-ios-interfaces--ud1027|Intermediate|Learn the best practices for creating iOS interfaces. Build adaptive interfaces, animate UI elements, and analyze designs from popular apps on the App Store.
iOS Design Patterns|https://www.udacity.com/course/ios-design-patterns--ud1029|Intermediate|In this course, you'll explore iOS design patterns — the practical and battle-tested solutions to common problems that are used everyday by developers.
Continuous Integration and Deployment|https://www.udacity.com/course/continuous-integration-and-deployment--ud1030|Intermediate|In this course, you'll learn how to improve the mobile development process by using continuous integration and deployment.
Android Basics: User Interface|https://www.udacity.com/course/android-basics-user-interface--ud834|Beginner|Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program.
Firebase Analytics: iOS|https://www.udacity.com/course/firebase-analytics-ios--ud353|Intermediate|Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution
Firebase Analytics: Android|https://www.udacity.com/course/firebase-analytics-android--ud354|Intermediate|Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution
VR Platforms & Applications|https://www.udacity.com/course/vr-platforms-applications--ud1015|Beginner|
VR Design|https://www.udacity.com/course/vr-design--ud1016|Intermediate|
Passwordless Login Solutions for iOS|https://www.udacity.com/course/passwordless-login-solutions-for-ios--ud1028|Intermediate|In this course you'll implement Account Kit and Facebook Login side by side in a sample app, test our login flow on a series of common use cases, and wrap things up with an introduction to Facebook’s Graph API.
